fpr,tpr
0.0,0.0
0.0,0.03289473684210526
0.0,0.07894736842105263
0.0,0.15460526315789475
0.0,0.17763157894736842
0.0,0.19407894736842105
0.0,0.20065789473684212
0.0,0.21052631578947367
0.0,0.21710526315789475
0.0,0.3256578947368421
0.00510204081632653,0.3256578947368421
0.00510204081632653,0.34868421052631576
0.00510204081632653,0.35526315789473684
0.00510204081632653,0.41118421052631576
0.00510204081632653,0.41776315789473684
0.00510204081632653,0.4407894736842105
0.015306122448979591,0.4407894736842105
0.015306122448979591,0.4868421052631579
0.015306122448979591,0.4967105263157895
0.015306122448979591,0.5394736842105263
0.02040816326530612,0.5394736842105263
0.02040816326530612,0.569078947368421
0.02040816326530612,0.5756578947368421
0.02040816326530612,0.5921052631578947
0.02040816326530612,0.5986842105263158
0.02040816326530612,0.6217105263157895
0.02040816326530612,0.6282894736842105
0.02040816326530612,0.6776315789473685
0.02040816326530612,0.6842105263157895
0.02040816326530612,0.6907894736842105
0.025510204081632654,0.6907894736842105
0.025510204081632654,0.7138157894736842
0.025510204081632654,0.7236842105263158
0.025510204081632654,0.7664473684210527
0.030612244897959183,0.7664473684210527
0.030612244897959183,0.7894736842105263
0.03571428571428571,0.7894736842105263
0.03571428571428571,0.7927631578947368
0.04081632653061224,0.7927631578947368
0.04081632653061224,0.805921052631579
0.04591836734693878,0.805921052631579
0.04591836734693878,0.8125
0.05612244897959184,0.8125
0.05612244897959184,0.8157894736842105
0.061224489795918366,0.8157894736842105
0.061224489795918366,0.8289473684210527
0.061224489795918366,0.8355263157894737
0.0663265306122449,0.8355263157894737
0.0663265306122449,0.8388157894736842
0.08163265306122448,0.8388157894736842
0.08163265306122448,0.8486842105263158
0.08673469387755102,0.8486842105263158
0.08673469387755102,0.8519736842105263
0.09183673469387756,0.8519736842105263
0.09183673469387756,0.8552631578947368
0.10204081632653061,0.8552631578947368
0.10204081632653061,0.8585526315789473
0.11224489795918367,0.8585526315789473
0.11224489795918367,0.8618421052631579
0.1326530612244898,0.8618421052631579
0.1326530612244898,0.8717105263157895
0.14795918367346939,0.8717105263157895
0.14795918367346939,0.8782894736842105
0.15816326530612246,0.8782894736842105
0.15816326530612246,0.881578947368421
0.16326530612244897,0.881578947368421
0.16326530612244897,0.8848684210526315
0.1989795918367347,0.8848684210526315
0.1989795918367347,0.8881578947368421
0.20918367346938777,0.8881578947368421
0.20918367346938777,0.8947368421052632
0.23469387755102042,0.8947368421052632
0.23469387755102042,0.8980263157894737
0.24489795918367346,0.8980263157894737
0.24489795918367346,0.9046052631578947
0.25510204081632654,0.9046052631578947
0.25510204081632654,0.9078947368421053
0.2602040816326531,0.9078947368421053
0.2602040816326531,0.9144736842105263
0.2755102040816326,0.9144736842105263
0.2755102040816326,0.9177631578947368
0.29591836734693877,0.9177631578947368
0.29591836734693877,0.9210526315789473
0.3112244897959184,0.9210526315789473
0.3112244897959184,0.9243421052631579
0.32653061224489793,0.9243421052631579
0.32653061224489793,0.9276315789473685
0.37244897959183676,0.9276315789473685
0.37244897959183676,0.930921052631579
0.37755102040816324,0.930921052631579
0.37755102040816324,0.9375
0.3826530612244898,0.9375
0.3826530612244898,0.9407894736842105
0.45918367346938777,0.9407894736842105
0.45918367346938777,0.9473684210526315
0.4642857142857143,0.9473684210526315
0.4642857142857143,0.9506578947368421
0.46938775510204084,0.9506578947368421
0.46938775510204084,0.9572368421052632
0.4744897959183674,0.9572368421052632
0.4744897959183674,0.9605263157894737
0.5,0.9605263157894737
0.5,0.9638157894736842
0.5204081632653061,0.9638157894736842
0.5204081632653061,0.9671052631578947
0.5561224489795918,0.9671052631578947
0.5561224489795918,0.9703947368421053
0.5612244897959183,0.9703947368421053
0.5612244897959183,0.9736842105263158
0.5918367346938775,0.9736842105263158
0.5918367346938775,0.9769736842105263
0.6071428571428571,0.9769736842105263
0.6071428571428571,0.9802631578947368
0.6428571428571429,0.9802631578947368
0.6428571428571429,0.9835526315789473
0.6479591836734694,0.9835526315789473
0.6479591836734694,0.9868421052631579
0.6632653061224489,0.9868421052631579
0.6632653061224489,0.9901315789473685
0.6785714285714286,0.9901315789473685
0.6785714285714286,0.993421052631579
0.7295918367346939,0.993421052631579
0.7295918367346939,0.9967105263157895
0.9081632653061225,0.9967105263157895
0.9081632653061225,1.0
1.0,1.0
