dataset,thinking_mode,emb_model,n_fp,n_fn,n_lexical_variation,n_semantic_ambiguity,n_long_form_reasoning,n_other,fp_sim_mean,fn_sim_mean
sciq,no_thinking,bge-base,29,40,14,16,0,39,0.8960148301617853,0.7880247592926025
sciq,thinking,bge-base,16,50,6,21,0,39,0.9284963682293892,0.7427934026718139
simpleqa,no_thinking,bge-base,50,0,22,11,0,17,0.7587781727313996,
simpleqa,thinking,bge-base,50,1,23,10,0,18,0.7580363154411316,0.4897027015686035
natural_questions,no_thinking,bge-base,50,1,0,0,51,0,0.7012607371807098,0.453743577003479
natural_questions,thinking,bge-base,50,1,0,0,51,0,0.7186097133159638,0.4788800477981567
truthfulqa,no_thinking,bge-base,50,50,0,0,100,0,0.8648352658748627,0.5305476117134095
truthfulqa,thinking,bge-base,50,44,0,0,94,0,0.8628757798671722,0.6227506595579061
