fpr,tpr
0.0,0.0
0.0,0.0038314176245210726
0.0,0.06130268199233716
0.0,0.13026819923371646
0.0,0.2260536398467433
0.0,0.24904214559386972
0.0,0.27586206896551724
0.0,0.3103448275862069
0.0041841004184100415,0.3103448275862069
0.0041841004184100415,0.34099616858237547
0.008368200836820083,0.34099616858237547
0.008368200836820083,0.3486590038314176
0.008368200836820083,0.3563218390804598
0.008368200836820083,0.36015325670498083
0.012552301255230125,0.36015325670498083
0.012552301255230125,0.39080459770114945
0.016736401673640166,0.39080459770114945
0.016736401673640166,0.47509578544061304
0.02092050209205021,0.47509578544061304
0.02092050209205021,0.5019157088122606
0.02092050209205021,0.5095785440613027
0.02092050209205021,0.5210727969348659
0.02092050209205021,0.5287356321839081
0.02092050209205021,0.5593869731800766
0.02092050209205021,0.5670498084291188
0.02092050209205021,0.5747126436781609
0.02510460251046025,0.5747126436781609
0.02510460251046025,0.6091954022988506
0.02510460251046025,0.6245210727969349
0.02510460251046025,0.6283524904214559
0.02510460251046025,0.6360153256704981
0.02510460251046025,0.6398467432950191
0.03347280334728033,0.6398467432950191
0.03347280334728033,0.6475095785440613
0.03347280334728033,0.6628352490421456
0.03347280334728033,0.6704980842911877
0.03347280334728033,0.6743295019157088
0.04184100418410042,0.6743295019157088
0.04184100418410042,0.6781609195402298
0.04602510460251046,0.6781609195402298
0.04602510460251046,0.6819923371647509
0.0502092050209205,0.6819923371647509
0.0502092050209205,0.7126436781609196
0.05439330543933055,0.7126436781609196
0.05439330543933055,0.7318007662835249
0.058577405857740586,0.7318007662835249
0.058577405857740586,0.7394636015325671
0.058577405857740586,0.7471264367816092
0.06276150627615062,0.7471264367816092
0.06276150627615062,0.7547892720306514
0.06694560669456066,0.7547892720306514
0.06694560669456066,0.7586206896551724
0.08786610878661087,0.7586206896551724
0.08786610878661087,0.7662835249042146
0.09205020920502092,0.7662835249042146
0.09205020920502092,0.7739463601532567
0.09623430962343096,0.7739463601532567
0.09623430962343096,0.7854406130268199
0.09623430962343096,0.789272030651341
0.100418410041841,0.789272030651341
0.100418410041841,0.8275862068965517
0.10460251046025104,0.8275862068965517
0.10460251046025104,0.8314176245210728
0.1087866108786611,0.8314176245210728
0.1087866108786611,0.8352490421455939
0.12552301255230125,0.8352490421455939
0.12552301255230125,0.842911877394636
0.1297071129707113,0.842911877394636
0.1297071129707113,0.8505747126436781
0.13389121338912133,0.8505747126436781
0.13389121338912133,0.8544061302681992
0.14225941422594143,0.8544061302681992
0.14225941422594143,0.8620689655172413
0.1506276150627615,0.8620689655172413
0.1506276150627615,0.8659003831417624
0.15481171548117154,0.8659003831417624
0.15481171548117154,0.8697318007662835
0.1589958158995816,0.8697318007662835
0.1589958158995816,0.8735632183908046
0.17154811715481172,0.8735632183908046
0.17154811715481172,0.8850574712643678
0.18828451882845187,0.8850574712643678
0.18828451882845187,0.9042145593869731
0.200836820083682,0.9042145593869731
0.200836820083682,0.9080459770114943
0.20920502092050208,0.9080459770114943
0.20920502092050208,0.9118773946360154
0.2175732217573222,0.9118773946360154
0.2175732217573222,0.9157088122605364
0.2510460251046025,0.9157088122605364
0.2510460251046025,0.9233716475095786
0.2510460251046025,0.9272030651340997
0.2594142259414226,0.9272030651340997
0.2594142259414226,0.9310344827586207
0.2803347280334728,0.9310344827586207
0.2803347280334728,0.9386973180076629
0.32217573221757323,0.9386973180076629
0.32217573221757323,0.9425287356321839
0.3305439330543933,0.9425287356321839
0.3305439330543933,0.946360153256705
0.33472803347280333,0.946360153256705
0.33472803347280333,0.9501915708812261
0.3389121338912134,0.9501915708812261
0.3389121338912134,0.9540229885057471
0.35564853556485354,0.9540229885057471
0.35564853556485354,0.9578544061302682
0.3598326359832636,0.9578544061302682
0.3598326359832636,0.9616858237547893
0.38493723849372385,0.9616858237547893
0.38493723849372385,0.9655172413793104
0.39330543933054396,0.9655172413793104
0.39330543933054396,0.9693486590038314
0.41841004184100417,0.9693486590038314
0.41841004184100417,0.9731800766283525
0.42677824267782427,0.9731800766283525
0.42677824267782427,0.9770114942528736
0.5271966527196653,0.9770114942528736
0.5271966527196653,0.9808429118773946
0.5355648535564853,0.9808429118773946
0.5355648535564853,0.9846743295019157
0.5481171548117155,0.9846743295019157
0.5481171548117155,0.9885057471264368
0.6610878661087866,0.9885057471264368
0.6610878661087866,0.9923371647509579
0.6820083682008368,0.9923371647509579
0.6820083682008368,0.9961685823754789
0.7280334728033473,0.9961685823754789
0.7280334728033473,1.0
1.0,1.0
